# Time , Flux-Flux
8.0100e+03,5.4957e-15
8.0200e+03,6.0584e-15
8.0300e+03,6.5911e-15
8.0400e+03,7.0877e-15
8.0500e+03,7.5418e-15
8.0600e+03,7.9471e-15
8.0700e+03,8.2975e-15
8.0800e+03,8.5871e-15
8.0900e+03,8.8103e-15
8.1000e+03,8.9617e-15
8.1100e+03,9.0366e-15
8.1200e+03,9.0308e-15
8.1300e+03,8.9404e-15
8.1400e+03,8.7626e-15
8.1500e+03,8.4952e-15
8.1600e+03,8.1366e-15
8.1700e+03,7.6863e-15
8.1800e+03,7.1445e-15
8.1900e+03,6.5123e-15
8.2000e+03,5.7918e-15
8.2100e+03,4.9858e-15
8.2200e+03,4.0981e-15
8.2300e+03,3.1333e-15
8.2400e+03,2.0965e-15
8.2500e+03,9.9407e-16
8.2600e+03,-1.6745e-16
8.2700e+03,-1.3807e-15
8.2800e+03,-2.6378e-15
8.2900e+03,-3.9306e-15
8.3000e+03,-5.2505e-15
8.3100e+03,-6.5888e-15
8.3200e+03,-7.9364e-15
8.3300e+03,-9.2845e-15
8.3400e+03,-1.0624e-14
8.3500e+03,-1.1947e-14
8.3600e+03,-1.3245e-14
8.3700e+03,-1.4509e-14
8.3800e+03,-1.5732e-14
8.3900e+03,-1.6906e-14
8.4000e+03,-1.8027e-14
8.4100e+03,-1.9086e-14
8.4200e+03,-2.0079e-14
8.4300e+03,-2.1000e-14
8.4400e+03,-2.1847e-14
8.4500e+03,-2.2614e-14
8.4600e+03,-2.3299e-14
8.4700e+03,-2.3899e-14
